Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Bank_y,Stock Class,Number of Shares,Percentage of Ownership,RSSD_ID_y
Chairman of the Board of Directors,"Eslick E. Daniel,M.D.",Chairman of the Board of Directors,Community First Bank & Trust,2015,Retired,"Community First,Inc.",Shares as primary owner,55494,,3108194
Director,"Ruskin Alexander Vest,Jr.",,Community First Bank & Trust,2015,Private Investor,"Community First,Inc.",Total Shares of Common Stock,170229,5.20%,3108194
Director,"Ruskin Alexander Vest,Jr.",,Community First Bank & Trust,2015,Private Investor,"Community First,Inc.",Shares as primary owner,170229,,3108194
Former Director & Chairman,Estate of James G. Raines,,,2014,,"Dawson Bancshares,Inc",,11830,30.36%,1085536
Director,Jack Laing,,,2014,,"Dawson Bancshares,Inc",,2300,5.90%,1085536
Former Director & Chairman,Estate of James G. Raines,,,2015,,"Dawson Bancshares,Inc.",,11830,30.36%,1085536
Former Chairman & President,Estate of James G. Raines,,,2015,,"Dawson Bancshares,Inc.",,11830,30.36%,1085536
Director,Jack Laing,,,2015,,"Dawson Bancshares,Inc.",,2360,6.06%,1085536
President | CEO,Robert E. Williams,,,2023,,"Dawson Bancshares,Inc.",,18561,16.55%,
Secretary - Treasurer,Barry N. Lyle,,,2023,,"Dawson Bancshares,Inc.",,6328,5.63%,
Director,"James H. Faircloth,Jr.",,,2023,"Executive Vice President,Sowega Farms","Dawson Bancshares,Inc.",,17530,15.63%,
Director,"Theodore G. Elmore,Jr.",,,2023,Certified Public Accountant,"Dawson Bancshares,Inc.",,10512,9.36%,
Director,Robert H. Albritton,,,2023,Insurance Agent,"Dawson Bancshares,Inc.",,9139,8.14%,
Director,Charles T. McElmurray,,,2023,"General Manager-McCain Gin,Inc.","Dawson Bancshares,Inc.",,8860,7.89%,
Director,William B. Bostwick,,,2023,Farmer,"Dawson Bancshares,Inc.",,5472,4.87%,
Director,William E. Reynolds,,,2023,Certified Public Accountant,"Dawson Bancshares,Inc.",,5362,4.77%,
Director President & CEO,Donald Richardson,Director President & CEO,,2014,President & CEO Bank of Dickson,Dickson Financial Corporation,,4019,,108 5299
Director,Donald Richardson,Director,Bank of Dickson,2016,President & CEO,Dickson Financial Corporation,common stock,4750,,1085899
President & CEO,Donald Richardson,Director,Bank of Dickson,2016,President & CEO,Dickson Financial Corporation,common stock,4750,,1085899
Director President & CEO,Donald Richardson,Director President & CEO,,2017,President & CEO,Dickson Financial Corporation,common stock,5085,6.03%,
"Director,President & CEO",Donald Richardson,,,2019,President & CEO Bank of Dickson,Dickson Financial Corporation,common stock,5135,,
Chairman,Don Wenner,"CEO,DLP Caital",DLP Capital,2022,,Community State Bank,common,825,19.54%,
Chairman,Don Wenner,"CEO,DLP Caital",DLP Capital,2022,,Community State Bank,warrants,825,9.91%,
Vice Chair,Robert Peterson,"CFO,DLP Capital",,2022,"CFO,DLP Capital",Community State Bank,common,150,3.55%,
Vice Chair,Robert Peterson,"CFO,DLP Capital",,2022,"CFO,DLP Capital",Community State Bank,warrants,150,1.80%,
Chairman,Don Wenner,CEO,DLP Capital,2023,DLP Capital,DLP Bancshares inc,common,850,20.13%,
Chairman,Don Wenner,CEO,DLP Capital,2023,DLP Capital,DLP Bancshares inc,warrants,825,9.76%,
Vice Chair,Robert Peterson,CFO,DLP Capital,2023,"CFO,DLP Capital",DLP Bancshares inc,common,150,3.55%,
Vice Chair,Robert Peterson,CFO,DLP Capital,2023,"CFO,DLP Capital",DLP Bancshares inc,warrants,150,1.80%,
EVP,Luke E. Morgan,,,2015,,"DNB Financial Services,Inc",,83000,10.0626%,
Director & President,Stuart S. Smith,,,2015,,"DNB Financial Services,Inc",,69500,8.4259%,
Director,Kerry Van Moore,,,2015,Farmer,"DNB Financial Services,Inc",,80333,9.7393%,
Director & Chairman,"Elton D. Brooks,Jr.",Pres/CEO,"Brooks Aviation,Inc",2015,Pres/CEO,"DNB Financial Services,Inc",,133333,16.1648%,
Director & Chairman,"Elton D. Brooks,Jr.",Sec/Treas,"Advanced Industrial Components,Inc",2015,Pres/CEO,"DNB Financial Services,Inc",,133333,16.1648%,
Director & Chairman,"Elton D. Brooks,Jr.",Member,"Douglas Helicopter,LLC",2015,Pres/CEO,"DNB Financial Services,Inc",,133333,16.1648%,
Director & Chairman,"Elton D. Brooks,Jr.",Member,"Tradewind Turbine,LLC",2015,Pres/CEO,"DNB Financial Services,Inc",,133333,16.1648%,
EVP,Luke E. Morgan,,,2016,,Douglas National Bank,,83000,10.1612%,3049626
Director & President,Stuart S. Smith,,,2016,,Douglas National Bank,,68500,8.3860%,3049626
Director,Kerry Van Moore,,,2016,Farmer,Douglas National Bank,,80333,9.8347%,3049626
Director & Chairman,"Elton D. Brooks,Jr.",,"Brooks Aviation,Inc",2016,Pres/CEO,Douglas National Bank,,100000,12.2424%,3049626
Director & Chairman,"Elton D. Brooks,Jr.",,"Advanced Industrial Components,Inc",2016,Sec/Treas,Douglas National Bank,,100000,12.2424%,3049626
Director & Chairman,"Elton D. Brooks,Jr.",,"Douglas Helicopter,LLC",2016,Member,Douglas National Bank,,100000,12.2424%,3049626
Director & Chairman,"Elton D. Brooks,Jr.",,"Tradewind Turbine,LLC",2016,Member,Douglas National Bank,,100000,12.2424%,3049626
EVP,Luke E. Morgan,,,2017,,"DNB Financial Services,Inc.",,83000,10.1570%,
Director & President,Stuart S. Smith,,,2017,,"DNB Financial Services,Inc.",,68500,8.3826%,
Director,Kerry Van Moore,,,2017,Farmer,"DNB Financial Services,Inc.",,80333,9.8307%,
Director & Chairman,"Elton D. Brooks,Jr.",Pres/CEO,"Brooks Aviation,Inc",2017,Pres/CEO,"DNB Financial Services,Inc.",,100000,12.2374%,
Director & Chairman,"Elton D. Brooks,Jr.",Sec/Treas,"Advanced Industrial Components,Inc",2017,Pres/CEO,"DNB Financial Services,Inc.",,100000,12.2374%,
Director & Chairman,"Elton D. Brooks,Jr.",Member,"Douglas Helicopter,LLC",2017,Pres/CEO,"DNB Financial Services,Inc.",,100000,12.2374%,
Director & Chairman,"Elton D. Brooks,Jr.",Member,"Tradewind Turbine,LLC",2017,Pres/CEO,"DNB Financial Services,Inc.",,100000,12.2374%,
Director & Chairman,"Elton D. Brooks,Jr.",,"The Liberty Foundation,LLC",2017,Pres/CEO,"DNB Financial Services,Inc.",,100000,12.2374%,
Director & Chairman,"Elton D. Brooks,Jr.",,Brooks Auto Parts,2017,Pres/CEO,"DNB Financial Services,Inc.",,100000,12.2374%,
Director & Chairman,"Elton D. Brooks,Jr.",,Brooks Auto Supply,2017,Pres/CEO,"DNB Financial Services,Inc.",,100000,12.2374%,
EVP,Luke E. Morgan,,,2019,,Douglas National Bank,,83000,10.0993%,
Director & President,Stuart S. Smith,,,2019,,Douglas National Bank,,66575,8.1008%,
Director,Kerry Van Moore,,,2019,Farmer,Douglas National Bank,,80333,9.7748%,
Director & Chairman,"Elton D. Brooks,Jr.",Pres/CEO,"Brooks Aviation,Inc",2019,Pres/CEO,Douglas National Bank,,100000,12.1679%,
Director & Chairman,"Elton D. Brooks,Jr.",Sec/Treas,"Advanced Industrial Components,Inc",2019,Pres/CEO,Douglas National Bank,,100000,12.1679%,
Director & Chairman,"Elton D. Brooks,Jr.",Member,"Douglas Helicopter,LLC",2019,Pres/CEO,Douglas National Bank,,100000,12.1679%,
Director & Chairman,"Elton D. Brooks,Jr.",Member,"Tradewind Turbine,LLC",2019,Pres/CEO,Douglas National Bank,,100000,12.1679%,
Director & Chairman,"Elton D. Brooks,Jr.",Member,"The Liberty Foundation,LLC",2019,Pres/CEO,Douglas National Bank,,100000,12.1679%,
Director & President,"Elton D. Brooks,Jr.",,,2021,,"DNB Financial Services,Inc.",,100000,12.0724%,
Director,Luke E. Morgan,,,2021,,"DNB Financial Services,Inc.",,83000,10.0213%,
Director,Kerry Van Moore,,"Part-Time Aviation,LLC",2021,Farmer,"DNB Financial Services,Inc.",,81333,9.8200%,
Director,"Elton D. Brooks,Jr.",,,2022,,"DNB Financial Services,Inc.",Director,100000,12.0491%,
Director,Luke E. Morgan,,,2022,,"DNB Financial Services,Inc.",Director,83000,10.0008%,
Director & President,Stuart S. Smith,,,2022,,"DNB Financial Services,Inc.",Director & President,66575,8.0217%,
Director & Chairman,Kerry Van Moore,,,2022,Farmer,"DNB Financial Services,Inc.",Director & Chairman,81333,9.7999%,
Director & Chairman of the Board,"Floyd C. Davis,Sr.",Director & Chairman of the Board,"DCL,Inc.",2015,Manufacturing,"East Alabama Financial Group,Inc.",Common Stock,"68,400",13.15%,
Director & Chairman of the Board,"Floyd C. Davis,Sr.",Director & Chairman of the Board,Floyd C. Davis Family Partnership,2015,Manufacturing,"East Alabama Financial Group,Inc.",Common Stock,"68,400",13.15%,
Director,Debbie Meadows,Vice President & Cashier,Wright Way,2015,Banking,"East Alabama Financial Group,Inc.",Common Stock,"27,228",5.24%,
,Floyd Davis Family Partnership,,,2015,,"East Alabama Financial Group,Inc.",Common Stock,"120,050",23.08%,
Director & Chairman of the Board,"Floyd C. Davis,Sr.",Owner,"DCL,Inc.",2016,Manufacturing,"East Alabama Financial Group,Inc.",Common Stock,68400,13.15%,2804855
Director & Chairman of the Board,"Floyd C. Davis,Sr.",Partner,Floyd C. Davis Family Partnership,2016,Manufacturing,"East Alabama Financial Group,Inc.",Common Stock,68400,13.15%,2804855
Director,Debbie Meadows,Partner,Wright Way,2016,Banking,"East Alabama Financial Group,Inc.",Common Stock,27228,5.24%,2804855
,Floyd Davis Family Partnership,,,2016,,"East Alabama Financial Group,Inc.",Common Stock,120050,23.08%,2804855
Director & Chairman of the Board,"Floyd C. Davis,Sr.",Owner,"DCL,Inc.",2017,Manufacturing,"East Alabama Financial Group,Inc.",Common Stock,68400,13.15%,
Director & Chairman of the Board,"Floyd C. Davis,Sr.",Partner,Floyd C. Davis Family Partnership,2017,Manufacturing,"East Alabama Financial Group,Inc.",Common Stock,68400,13.15%,
Director,Debbie Meadows,Partner,Wright Way,2017,Banking,"East Alabama Financial Group,Inc.",Common Stock,27228,5.24%,
,Floyd Davis Family Partnership,,,2017,,"East Alabama Financial Group,Inc.",Common Stock,120050,23.08%,
President,William Henry Carr,President,"Badger Sportswear,Inc.",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,Carr Brothers LLC,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,Carr Air LLC,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,Carr America LLC,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,Carr Girls LLC,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,Carr Diamond LLC/Emmaus Foods,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Vice-President,"Ozark Striping Co.,Inc.",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,Ozark Striping Management Company LLC,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,"Ozark Safety Services,LLC",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,"Ozark Materials,LLC",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,President,"Beachcomber by the Sea,Inc.",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,President,"By the Sea Resorts,Inc.",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Director,"Pathway,Inc.",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,Trailer World Acquisition Company LLC,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,Linden Ventures LLC,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,Majestic Timber LLC,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,CCSB LLC,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,Crimson Expirations LLC,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,CSC (NC) LLC,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,LGP Holdings LLC,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,"All Metal Acquisitions,LLC",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,Elite Metal Works,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,"Ozark Distribution Services,LLC",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,"CC&J,LLC",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,"Carr & Pugh,LLC",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,"Uphapee Plantation,LLC",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,Village Rennaissance @ Mountain Brook,2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,"Tide Manufacturing,LLC",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,"Crimson Cattle,LLC",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,"Carr Farms,LLC",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,"Carr Properties,LLC",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,Member,"Johnson Farms,LLC",2014,CPA/Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,President,"Badger Sportswear,Inc.",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,Carr Brothers LLC,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,Carr Air LLC,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,Carr America LLC,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,Carr Girls LLC,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,Carr Diamond LLC/Emmaus Foods,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Treasurer,"Ozark Striping Co.,Inc.",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,Ozark Striping Management Company LLC,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,"Ozark Safety Services,LLC",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,"Ozark Materials,LLC",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Director,"Beachcomber by the Sea,Inc.",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Director,"By the Sea Resorts,Inc.",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Director,"Pathway,Inc.",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,Trailer World Acquisition Company LLC,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,Linden Ventures LLC,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,Majestic Timber LLC,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,CCSB LLC,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,Crimson Expirations LLC,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,CSC (NC) LLC,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,LGP Holdings LLC,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,"All Metal Acquisitions,LLC",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,Elite Metal Works,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,"Ozark Distribution Services,LLC",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,"CC&J,LLC",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,"Carr & Pugh,LLC",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,"Uphapee Plantation,LLC",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,Village Rennaissance @ Mountain Brook,2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,Member,"Tide Manufacturing,LLC",2014,Business Owner,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
Vice President & Director,Charles E. Jones,"Associates of Enterprise,Inc.","Associates of Enterprise,Inc.",2014,Retired,"ENTERPRISE CAPITAL CORPORATION,INC.",,2836,15.13%,
Vice President & Director,Charles E. Jones,"Sunny South Mobile Villa,Inc.","Sunny South Mobile Villa,Inc.",2014,Retired,"ENTERPRISE CAPITAL CORPORATION,INC.",,2836,15.13%,
Vice President & Director,Charles E. Jones,"Daleco,Inc.","Daleco,Inc.",2014,Retired,"ENTERPRISE CAPITAL CORPORATION,INC.",,2836,15.13%,
Vice President & Director,Charles E. Jones,"J & K Construction Co.,Inc.","J & K Construction Co.,Inc.",2014,Retired,"ENTERPRISE CAPITAL CORPORATION,INC.",,2836,15.13%,
Vice President & Director,Charles E. Jones,"Public Building Authority of the City of Enterprise,Alabama","Public Building Authority of the City of Enterprise,Alabama",2014,Retired,"ENTERPRISE CAPITAL CORPORATION,INC.",,2836,15.13%,
Director,"James H. Weatherford,Jr.","Southeast Title Company,Inc","Southeast Title Company,Inc",2014,Attorney-at-law,"ENTERPRISE CAPITAL CORPORATION,INC.",,1110,5.88%,
Director,"James H. Weatherford,Jr.","Southeast Land,LLC.","Southeast Land,LLC.",2014,Attorney-at-law,"ENTERPRISE CAPITAL CORPORATION,INC.",,1110,5.88%,
Director,"James H. Weatherford,Jr.","Weatherford & Williams,LLP","Weatherford & Williams,LLP",2014,Attorney-at-law,"ENTERPRISE CAPITAL CORPORATION,INC.",,1110,5.88%,
Director,"James H. Weatherford,Jr.",Weatherford Land Company,Weatherford Land Company,2014,Attorney-at-law,"ENTERPRISE CAPITAL CORPORATION,INC.",,1110,5.88%,
Director,"James H. Weatherford,Jr.","JD Land,LLC","JD Land,LLC",2014,Attorney-at-law,"ENTERPRISE CAPITAL CORPORATION,INC.",,1110,5.88%,
Director,"James H. Weatherford,Jr.","Triangle Land,LLC","Triangle Land,LLC",2014,Attorney-at-law,"ENTERPRISE CAPITAL CORPORATION,INC.",,1110,5.88%,
Vice President & Director,Charles E. Jones,President & Director,"Sunny South Mobile Villa,Inc.",2015,,Enterprise Capital Corporation,,2871,15.20%,
Executive Vice President & Director,Charles E. Jones,Vice President & Director,"Daleco,Inc.",2015,,Enterprise Capital Corporation,,2871,15.20%,
Vice President & Director,Charles E. Jones,President & Director,"J & K Construction Co.,Inc.",2015,,Enterprise Capital Corporation,,2871,15.20%,
Vice President & Director,Charles E. Jones,Chairman of the Board,"Public Building Authority of the City of Enterprise,Alabama",2015,,Enterprise Capital Corporation,,2871,15.20%,
Director,"James H. Weatherford,Jr.",,Enterprise Capital Corporation,2015,Attorney-at-law,Enterprise Capital Corporation,,1110,5.88%,
Director,"James H. Weatherford,Jr.",,The Citizens Bank,2015,Attorney-at-law,Enterprise Capital Corporation,,1110,5.88%,
Director,"James H. Weatherford,Jr.",Member,"Southeast Land,LLC.",2015,Attorney-at-law,Enterprise Capital Corporation,,1110,5.88%,
Director,"James H. Weatherford,Jr.",Partner,"Weatherford & Williams,LLP",2015,Attorney-at-law,Enterprise Capital Corporation,,1110,5.88%,
Director,"James H. Weatherford,Jr.",Shareholder,Weatherford Land Company,2015,Attorney-at-law,Enterprise Capital Corporation,,1110,5.88%,
Director,"James H. Weatherford,Jr.",Member,"JD Land,LLC",2015,Attorney-at-law,Enterprise Capital Corporation,,1110,5.88%,
Director,"James H. Weatherford,Jr.",Member,"Triangle Land,LLC",2015,Attorney-at-law,Enterprise Capital Corporation,,1110,5.88%,
,William Henry Carr,President,"Badger Sportswear,Inc.",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,Carr Brothers LLC,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,Carr Air LLC,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,Carr America LLC,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,Carr Diamond LLC/Emmaus Foods,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Vice-President,"Ozark Striping Co.,Inc.",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,Ozark Striping Management Company LLC,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"Ozark Safety Services,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"Ozark Materials,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,President,"Beachcomber by the Sea,Inc.",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,President,"By the Sea Resorts,Inc.",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Director,"Pathway,Inc.",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,Trailer World Acquisition Company LLC,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,Linden Ventures LLC,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,Majestic Timber LLC,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,CCSB LLC,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,Crimson Expirations LLC,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,CSC (NC) LLC,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"All Metal Acquisitions,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"All Metal Building Systems,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"Ozark Distribution Services,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"CC&J Properties,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"Carr & Pugh Properties,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Shareholder,The Citizens Bank,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"Uphapee Creek,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,Village Rennaissance @ Mountain Brook,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"Tide Manufacturing,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"Crimson Cattle Company,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"Carr Farms,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"Carr Properties,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"Johnson Farms,Inc.",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Shareholder,Ozark Striping Real Estate Inc.,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Partner,"Beaver Dam,Ltd.",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Partner,MCGLA Rentals,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Partner,Barbour County Land,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,CRI-MGM Building LLC,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,Lumber Lenders LLC,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"Uphapee Pine Straw,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Member,"Carr Lands,LLC",2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,William Henry Carr,Partner,D C Farms,2015,CPA/Business Owner,Enterprise Capital Corporation,,3094,16.38%,
,Jerry Newman Carr,President,"Badger Sportswear,Inc.",2015,Business Owner,Enterprise Capital Corporation,,3094,16.38%,
