Bank,Internal Title,Person,Fiscal Year,RSSD_ID,Stock Class,Number of Shares,Percentage of Ownership
EXECUTIVE BANKING CORPORATION,CHAIRMAN,carlos a. safie,2016,1082731,PREFERRED STOCK-AS SUCCESSOR TRUSTEE,1357,1.0
EXECUTIVE BANKING CORPORATION,DIRECTOR,alejandro m. safie,2016,1082731,COMMON STOCK,2000,0.49776008
EXECUTIVE BANKING CORPORATION,,alejandro m. safie,2019,,COMMON STOCK,2000,0.49776008
"East Alabama Financial Group,Inc.",Director & Chairman of the Board,"floyd c. davis,sr.",2014,2804855,Common Stock,67400,0.12960000000000002
"East Alabama Financial Group,Inc.",Director,debbie meadows,2014,2804855,Common Stock,27228,0.0524
"East Alabama Financial Group,Inc.",,floyd davis family partnership,2014,2804855,Common Stock,120050,0.23079999999999998
"EVANGELINE BANCSHARES,INC.","Director,Chairman of the Board",jake ardoin,2014,1133165,Common Stock,71,0.005
"EVANGELINE BANCSHARES,INC.",Director,charles l. buller,2014,1133165,Common Stock,39,0.0028000000000000004
"EVANGELINE BANCSHARES,INC.",President & CEO,randel chapman,2014,1133165,Common Stock,184,0.013000000000000001
"EVANGELINE BANCSHARES,INC.",Director,dr. charles e. fontenot,2014,1133165,Common Stock,173,0.012199999999999999
"EVANGELINE BANCSHARES,INC.",Director,h. bernard lebas,2014,1133165,Common Stock,257,0.0181
"EVANGELINE BANCSHARES,INC.",Director,michael k. veillon,2014,1133165,Common Stock,77,0.005434
Farmers & Merchants,,"tucker brothers,llc",2014,,Common Stock,26800,0.1165
Farmers & Merchants,Director,mose a. tucker,2014,,Common Stock,370,0.0016
Farmers & Merchants,Director,mose a. tucker,2014,,Common Stock,26800,0.1165
"Farmers & Merchants Bancshares,Inc.",Director,wayne welch,2018,,Common Stock,12925,0.056319999999999995
"Farmers & Merchants Bancshares,Inc.",Director,w. lewis lowe,2018,,Common Stock,1600,0.006959999999999999
"Farmers & Merchants Bancshares,Inc.",Director,w. lewis lowe,2018,,Common Stock,10722,0.04672
"Farmers & Merchants Bancshares,Inc.",Director,wayne welch,2020,,Common Stock,13600,0.059269999999999996
"Farmers & Merchants Bancshares,Inc.",Director,w. lewis lowe,2020,,Common Stock,2235,0.00972
"Farmers & Merchants Bancshares,Inc.",Director,w. lewis lowe,2020,,Common Stock,10722,0.04672
"Farmers & Merchants Bancshares,Inc.",Director,wayne welch,2021,,Common Stock,13600,0.059269999999999996
"Farmers & Merchants Bancshares,Inc.",Director,w. lewis lowe,2021,,Common Stock,2085,0.00907
"Farmers & Merchants Bancshares,Inc.",Director,w. lewis lowe,2021,,Common Stock,10722,0.04672
"Farmers & Merchants Bancshares,Inc",Director,wayne welch,2022,,Common Stock,13600,0.059269999999999996
"Farmers & Merchants Bancshares,Inc",Director,w. lewis lowe,2022,,Common Stock,1985,0.00864
"Farmers & Merchants Bancshares,Inc",Director,w. lewis lowe,2022,,Common Stock,10722,0.04672
"FARMERS BANCSHARES,INC.",Chairman of the Board & Director,kenneth s. dowling,2014,,,38.6369,0.1724
"FARMERS BANCSHARES,INC.",President & Director,edward e. morris,2014,,,13.9998,0.062400000000000004
"Farmers Bancshares,Inc.",Chairman of the Board & Director,kenneth s. dowling,2015,,,38.6369,0.1724
"Farmers Bancshares,Inc.",President & Director,edward e. morris,2015,,,13.9998,0.062400000000000004
"FARMERS BANCSHARES,INC.",Chairman of the Board & Director,kenneth s. dowling,2019,,,38.6369,0.1723
"FARMERS BANCSHARES,INC.",Director & CEO,edward e. morris,2019,,,15.1796,0.0677
"FARMERS BANCSHARES,INC.",Chairman of the Board & Director,kenneth s. dowling,2021,,,38.6369,0.1723
"FARMERS BANCSHARES,INC.",Chairman of the Board & Director,kenneth s. dowling,2023,,,38.6369,0.17370000000000002
"Farmers State Bancshares,Inc",Director/Chairman & President,john howard muse,2015,,,3128,0.0593
"Farmers State Bancshares,Inc",President & CEO/Director and Chairman of the Board,john howard muse,2015,,,3128,0.0593
"Farmers State Bancshares,Inc.",President & CEO/Director and Chairman of the Board,john howard muse,2017,,,3518,0.0667
"Farmers State Bancshares,Inc.",Director/Chairman & President,john howard muse,2019,,,3518,0.0667
"Farmers State Bancshares,Inc.",Director/Chairman & President,john howard muse,2020,,,3508,0.0665
FBDC Financial Corp.,,shari jones,2015,,common stock,11555,0.10300000000000001
FBDC Financial Corp.,Director,nathan pierson,2023,,Common Stock,2333,0.006
"FBD Holding Company,Inc.",Director,g. thomas peeples,2018,,Common Stock,173448,0.0786
"FBD Holding Company,Inc.",Chairman Emeritus,shelby peeples,2018,,Common Stock,772786,0.3503
F.B.H. Corporation,President/CEO and Director,william c. robertson,2015,1416907,Common Stock,213.8,0.107
F.B.H. Corporation,Secretary-Treasurer and Director,"john c. robertson,jr.",2015,1416907,Common Stock,380.2,0.191
F.B.H. Corporation,Principal Securities Holder,susan e. robertson,2015,1416907,Common Stock,375.7,0.188
F.B.H. Corporation,Principal Securities Holder and Director,"thomas h. robertson,iv",2015,1416907,Common Stock,375.7,0.188
F.B.H. Corporation,Director,catherine l. robertson,2015,1416907,Common Stock,183.5,0.092
FBH Corporation,Chairman Emeritus,william c. robertson,2016,1416907,Common Stock,213,0.107
FBH Corporation,Sr Vice-President and Director,"john c. robertson,jr.",2016,1416907,Common Stock,380,0.191
FBH Corporation,Principal Securities Holder,susan e. robertson,2016,1416907,Common Stock,375,0.18899999999999997
FBH Corporation,Principal Securities Holder and Director,"thomas h. robertson,iv",2016,1416907,Common Stock,375,0.18899999999999997
FBH Corporation,Principal Securities Holder,margaret c. robertson,2016,1416907,Common Stock,100,0.05
F.B.H. Corporation,Chairman Emeritus,william c. robertson,2017,,Common Stock,213.8,0.107
F.B.H. Corporation,Chairman,"john c. robertson,jr.",2017,,Common Stock,390.9,0.196
F.B.H. Corporation,Principal Securities Holder,susan e. robertson,2017,,Common Stock,375.7,0.188
F.B.H. Corporation,Principal Securities Holder and Director,"thomas h. robertson,iv",2017,,Common Stock,375.7,0.188
F.B.H. Corporation,Retired Director,catherine l. robertson,2017,,Common Stock,183.5,0.092
F.B.H. Corporation,Principal Securities Holder,margaret c. robertson,2017,,Common Stock,100.2,0.05
F.B.H. Corporation,Chairman Emeritus,william c. robertson,2018,,Common Stock,213.8,0.107
F.B.H. Corporation,Chairman,"john c. robertson,jr.",2018,,Common Stock,390.9,0.196
F.B.H. Corporation,Sr Vice-President,"john c. robertson,jr.",2018,,Common Stock,390.9,0.196
F.B.H. Corporation,Director,"john c. robertson,jr.",2018,,Common Stock,390.9,0.196
F.B.H. Corporation,Principal Securities Holder,susan e. robertson,2018,,Common Stock,375.7,0.188
F.B.H. Corporation,Principal Securities Holder and Director,"thomas h. robertson,iv",2018,,Common Stock,375.7,0.188
F.B.H. Corporation,Director,catherine l. robertson,2018,,Common Stock,183.5,0.092
F.B.H. Corporation,Principal Securities Holder,margaret c. robertson,2018,,Common Stock,100.2,0.05
F.B.H. Corporation,Chairman Emeritus,william c. robertson,2019,,Common Stock,213.8,0.107
F.B.H. Corporation,Chairman,"john c. robertson,jr.",2019,,Common Stock,390.9,0.196
F.B.H. Corporation,Principal Securities Holder,susan e. robertson,2019,,Common Stock,375.7,0.188
F.B.H. Corporation,Principal Securities Holder,"thomas h. robertson,iv",2019,,Common Stock,375.7,0.188
F.B.H. Corporation,Director,catherine l. robertson,2019,,Common Stock,183.5,0.092
F.B.H. Corporation,Chairman,"john c. robertson,jr.",2020,438434,Common Stock,390.92,0.196
F.B.H. Corporation,Principal Securities Holder,susan e. robertson,2020,438434,Common Stock,375.65,0.188
F.B.H. Corporation,Principal Securities Holder,"thomas h. robertson,iv",2020,438434,Common Stock,375.65,0.188
F.B.H. Corporation,Director,catherine l. robertson,2020,438434,Common Stock,183.5,0.092
FB Financial Corporation,"Executive Chairman of the Board/Director,Executive Chairman of the Board/Director",james w. ayers,2017,,Common Stock,17182784,0.56
FB Financial Corporation,Executive Chairman of the Board/Director,james w. ayers,2019,436159,Common Stock,13520383,0.436
FB Financial Corporation,Executive Chairman of the Board/Director,james w. ayers,2020,,Common Stock,13622133,0.28800000000000003
FB Financial Corporation,"Director,Director FirstBank",jimmy allen,2021,436159,Common Stock,23823,0.059500000000000004
FB Financial Corporation,,"t. rowe price associates,inc.",2021,436159,Common Stock,2668681,0.131
FB Financial Corporation,,"t. rowe price associates,inc.",2021,436159,,5142843,0.0674
FB Financial Corporation,,"t. rowe price associates,inc.",2021,436159,Voting Common Stock,1790774,0.133
FB Financial Corporation,,"t. rowe price associates,inc.",2021,436159,,4581082,0.078
FB Financial Corporation,,"t. rowe price associates,inc.",2021,436159,outstanding common stock,2995073,0.042
FB Financial Corporation,,"t. rowe price associates,inc.",2021,436159,,2599143,0.12689999999999999
FB Financial Corporation,,blackrock inc.,2021,436159,,13117339,0.147
FB Financial Corporation,Principal Shareholder,james w. ayers,2022,436159,Common Stock,10754991,0.23010000000000003
FB Financial Corporation,,blackrock inc.,2022,436159,,11500337,0.152
FB Financial Corporation,,blackrock inc.,2022,436159,Common Stock,1257096,0.07440000000000001
"FCB Bancshares,Inc.","Director,Director",dan j. willingham,2014,,,33362,0.204
"FCB Bancshares,Inc.",,"fcb bancshares,inc. ksop plan",2014,,,37752,0.2309
Premier Bank of the South,Director,john j. mullins,2017,,,70286,0.4299
Premier Bank of the South,Director,john j. mullins,2017,,KSOP Plan,25406,0.4299
Premier Bank of the South,Director,dan j. willingham,2017,,,33562,0.2053
"FCB Bancshares,Inc.",Director,dan j. willingham,2018,,,33562,0.2053
Premier Bank of the South,Attorney Director,dan j. willingham,2019,,,33562,0.2053
Premier Bank,Director,ann mullins,2019,,,12128,0.0741
"FCB Bancshares,Inc",President,jacob m. mullins,2022,,Common Stock,7432,0.0663
FCB CORPORATION,Director,edith h. johnson,2015,,,28836,0.1331
FCB CORPORATION,Director Chairman,marion w. hickerson iii,2015,,,44835,0.2069
FCB CORPORATION,Director,edith h. johnson,2016,1085488,,28836,0.1331
FCB CORPORATION,,marion w. hickerson iii,2016,1085488,,42151,0.1945
FCB CORPORATION,Director,nancy gilliam,2016,1085488,,11704,0.054000000000000006
FCB CORPORATION,Director,edith h. johnson,2018,,,26453,0.12210000000000001
FCB CORPORATION,Director and Chairman of the Board,marion w. hickerson iii,2018,,,42001,0.1938
FCB CORPORATION,Director,nancy gilliam,2018,,,11704,0.054000000000000006
FCB CORPORATION,Director,edith h. johnson,2019,,,26453,0.12210000000000001
FCB CORPORATION,Director and Chairman of the Board,marion w. hickerson iii,2019,,,42001,0.1938
FCB CORPORATION,Director,nancy gilliam,2019,,,11704,0.054000000000000006
FCB Financial Corp.,Director,bobby chu,2015,,Common Stock,208784,0.083
FCB Financial Corp.,Director,benny curl,2015,,Common Stock,159333,0.0635
FCB Financial Corp.,Director,bobby chu,2016,,Common Stock,208784,0.083
FCB Financial Corp.,Director,benny curl,2016,,Common Stock,159333,0.0635
FCB Financial Corp.,Director,bobby chu,2017,,Common Stock,208784,0.083
FCB Financial Corp.,Director,benny curl,2017,,Common Stock,159333,0.0635
FCB Financial Corp.,Director,bobby chu,2018,,Common Stock,208784,0.083
FCB Financial Corp.,Director,benny curl,2018,,Common Stock,159333,0.0635
FCB Financial Corp.,Director,bobby chu,2019,,Common Stock,208141,0.08199999999999999
FCB Financial Corp.,Director,benny curl,2019,,Common Stock,159500,0.063
FCB Financial Corp.,"Director,Chairman of the Board",stephen s. green,2020,,Common Stock,273837,0.091
FCB Financial Corp.,Director,bobby chu,2020,,Common Stock,292673,0.098
FCB Financial Corp.,Director,benny curl,2020,,Common Stock,200936,0.067
FCB Financial Corp.,Director,stephen s. green,2021,,Common Stock,273837,0.091
FCB Financial Corp.,Director (First Chatham Bank),stephen s. green,2021,,Common Stock,273837,0.091
FCB Financial Corp.,Director,bobby chu,2021,,Common Stock,292673,0.098
FCB Financial Corp.,Director (First Chatham Bank),bobby chu,2021,,Common Stock,292673,0.098
FCB Financial Corp.,Director,benny curl,2021,,Common Stock,200936,0.067
FCB Financial Corp.,Director (First Chatham Bank),benny curl,2021,,Common Stock,200936,0.067
FCB Financial Corp.,"President Stephen Green Properties,Inc.",stephen s. green,2023,,Common Stock,280087,0.09300000000000001
FCB Financial Corp.,Director,bobby chu,2023,,Common Stock,293923,0.098
FCB Financial Corp.,Director,benny curl,2023,,Common Stock,207861,0.069
"FEB Bancshares,Inc.",Chairman of the Board,"slawson,jr. guice",2016,"Inc. 33.333% owner,n/a",common stock,35499,0.3191
"FEB Bancshares,Inc.",Director,"slawson,joe stinson",2016,"Inc. 33.333% owner,n/a",common stock,35499,0.3191
"FEB Bancshares,Inc.",Director,"slawson,william edgar",2016,"Inc. 33.333% owner,n/a",common stock,35499,0.3191
"Feliciana Bancshares,Inc.",,elois b. johnson,2021,,Common Stock,5301,0.26
"Feliciana Bancshares,Inc.","Director,Chairman of the Board",elois b. johnson,2014,,Common Stock,9293,0.45
"Feliciana Bancshares,Inc.",,the paula jaye johnson s-corp trust,2016,879439,Common Stock,1226,0.05
"Feliciana Bancshares,Inc.",,the paula jaye johnson s-corp trust,2017,,Common Stock,1254,0.06
"Feliciana Bancshares,Inc.",,elois b. johnson,2017,,Common Stock,7421,0.36
"Feliciana Bancshares,Inc.",,paula jaye johnson,2018,,Common Stock,1282,0.06
"Feliciana Bancshares,Inc.",,elois b. johnson,2018,,Common Stock,6861,0.33
"Feliciana Bancshares,Inc.",,paula jaye johnson,2019,,Common Stock,1310,0.06
"Feliciana Bancshares,Inc.",,elois b. johnson,2019,,Common Stock,6301,0.3
"Feliciana Bancshares,Inc.",,jacki johnson andrews,2023,,Common Stock,3753,0.18
"Feliciana Bancshares,Inc.",,paula jaye johnson,2023,,Common Stock,3480,0.17
Fidelity Southern Corporation,Chairman & CEO,"james b. miller,jr.",2015,,Common Stock,3356927,0.15
FIDELITY SOUTHERN CORPORATION,Chairman & CEO,"james b. miller,jr.",2016,,Common Stock,3373537,0.12
FIDELITY SOUTHERN CORPORATION,,"blackrock,inc",2016,,Common Stock,3921736,0.11199999999999999
FIDELITY SOUTHERN CORPORATION,,"blackrock,inc",2017,,Common Stock,4746643,0.12390000000000001
FIDELITY SOUTHERN CORPORATION,,"rmb capital holdings,llc",2017,,Common Stock,1651829,0.06
FIDELITY SOUTHERN CORPORATION,,dimensional funds advisors lp,2017,,Common Stock,1574860,0.05
FIDELITY SOUTHERN CORPORATION,,"the banc funds co.,llc",2017,,Common Stock,1552378,0.05
Financial Corporation of Louisiana,,financial corporation of la esop,2016,2227182,,127539,0.1549
Financial Corporation of Louisiana,,financial corporation of la esop,2021,,,150213,0.18230000000000002
"FineMark Holdings,Inc.",Director & Chairman,david lucas,2022,,Common Stock,2057592,0.17
"FineMark Holdings,Inc.",Director & Chairman,david lucas,2022,,Options to purchase Common Stock,0,0.0
"FineMark Holdings,Inc.",Director & Vice Chairman,"john blais,jr.",2015,,Common Stock,464206,0.0525
"FineMark Holdings,Inc.",Director & Vice Chairman,"john blais,jr.",2015,,Options on Common Stock,82000,0.009300000000000001
"FineMark Holdings,Inc.",Director & Chairman,david lucas,2015,,Common Stock,2099378,0.2376
"FineMark Holdings,Inc.",Director & Chairman,david lucas,2015,,Options to purchase common stock,0,0.0
"FineMark Holdings,Inc.",Director & Vice Chairman,"john blais,jr.",2016,3547131,Common Stock,546206,0.0587
"FineMark Holdings,Inc.",Director & Vice Chairman,"john blais,jr.",2016,3547131,Options to purchase Common Stock,0,0.0
"FineMark Holdings,Inc.",Director & Chairman,david lucas,2016,3547131,Common Stock,2051378,0.22039999999999998
"FineMark Holdings,Inc.",Director & Chairman,david lucas,2016,3547131,Options to purchase Common Stock,0,0.0
"FineMark Holdings,Inc.",Director Emeritus,"john blais,jr.",2017,,Common Stock,"546,206",0.064
"FineMark Holdings,Inc.",Director Emeritus,"john blais,jr.",2017,,Options to purchase Common Stock,0,0.0
"FineMark Holdings,Inc.",Director & Chairman,david lucas,2017,,Options to purchase Common Stock,0,0.0
"FineMark Holdings,Inc.",Director Emeritus,"john blais,jr.",2019,,Common Stock,546206,0.06
"FineMark Holdings,Inc.",Director Emeritus,"john blais,jr.",2019,,Options to purchase Common Stock,0,0.0
"FineMark Holdings,Inc.",Director & Chairman,david lucas,2019,,Common Stock,2096783,0.22
"FineMark Holdings,Inc.",Director & Chairman,david lucas,2019,,Options to purchase Common Stock,0,0.0
"FineMark Holdings,Inc.",Director Emeritus,david lucas,2023,,Common Stock,1949362,0.16
"FineMark Holdings,Inc.",Director Emeritus,david lucas,2023,,Options to purchase Common Stock,0,0.0
First Bank of Boaz,Director,joseph paul abercrombie,2016,,,50500,0.0604
"First Brundidge Bancshares,Inc.",Chairman; Director of Both,"james t. ramage,iii",2016,1245684,,11650,0.1165
"FirstBanc of Alabama,Inc.",Chairman / Director,william larkin coker,2016,1135356,Common Capital,39500,0.0567
"FirstBanc of Alabama,Inc.",President,william larkin coker,2016,1135356,Common Capital,39500,0.0567
"FirstBanc of Alabama,Inc.",Chairman / Director,william larkin coker,2017,,,40000,0.0574
"FirstBanc of Alabama,Inc.",Chairman / Director,william larkin coker,2019,,Common Capital,40000,0.0575
"FirstBanc of Alabama,Inc.",Chairman / Director,william larkin coker,2020,,Common Capital,40000,0.057699999999999994
"FirstBanc of Alabama,Inc.",President,william larkin coker,2020,,Common Capital,40000,0.057699999999999994
"FirstBanc of Alabama,Inc.",Chairman / Director,william larkin coker,2021,,Common Capital,40000,0.057699999999999994
"FirstFed Bancorp,Inc.","Chairman of the Board,C.E.O. and President","b. k. goodwin,iii",2016,,,413589,0.0751
"FirstFed Bancorp,Inc.",Director*,james b. koikos,2016,,,303475,0.055099999999999996
"FirstFed Bancorp,Inc.",Director*,james e. mulkin,2016,,,790794,0.1436
"FirstFed Bancorp,Inc.","Director of FirstFed Bancorp,Inc. and First Financial Bank",james b. koikos,2018,,Common Stock,308475,0.0581
"FirstFed Bancorp,Inc.","Director of FirstFed Bancorp,Inc. and First Financial Bank",james e. mulkin,2018,,Common Stock,790794,0.1489
"FirstFed Bancorp,Inc.","Director of FirstFed Bancorp,Inc. and First Financial Bank",james e. mulkin,2019,,Common Stock,790794,0.1489
"FirstFed Bancorp,Inc.",Director Emeritus of First Fed Bancorp Inc and First Financial Bank,james e. mulkin,2020,,Common Stock,790794,0.1489
"FirstFed Bancorp,Inc.","Director Emeritus of FirstFed Bancorp,Inc.",james e. mulkin,2021,,Common Stock,790794,0.1489
"FirstFed Bancorp,Inc. Employee Stock Ownership Plan",Director Emeritus,james e. mulkin,2022,,,,0.1489
"FirstFed Bancorp,Inc. Employee Stock Ownership Plan",Chairman of the Board,"b. k. goodwin,iii",2022,,,,0.0779
"FirstFed Bancorp,Inc. Employee Stock Ownership Plan",Director,r. shan paden,2022,,,,0.0458
"FirstFed Bancorp,Inc. Employee Stock Ownership Plan","Director,President and C.E.O.",kyle goodwin,2022,,,,0.0262
"FirstFed Bancorp,Inc. Employee Stock Ownership Plan",Director,susan kirkpatrick,2022,,,,0.013000000000000001
"FirstFed Bancorp,Inc. Employee Stock Ownership Plan",Director,william wes russell,2022,,,,0.0062
"FirstFed Bancorp,Inc. Employee Stock Ownership Plan",Director,joel mulkin,2022,,,,0.0069
"FirstFed Bancorp,Inc. Employee Stock Ownership Plan",Executive Vice President,neil walker,2022,,,,0.0038
"FirstFed Bancorp,Inc. Employee Stock Ownership Plan",Senior Vice President,joel king,2022,,,,0.0
"FirstFed Bancorp,Inc.","Director Emeritus of FirstFed Bancorp,Inc.",james e. mulkin,2023,,Common Stock,790794,0.1502
"FirstFed Bancorp,Inc.","Chairman of the Board of FirstFed Bancorp,Inc.","b. k. goodwin,iii",2023,,Common Stock,413589,0.0786
"FirstFed Bancorp,Inc.","Chairman of the Board of FirstFed Bancorp,Inc.","b. k. goodwin,iii",2023,,Common Stock,10,2.6159999999999997e-05
First American Bancorp,Director,catherine m. nix,2015,,,20000,0.0571
First American Bancorp,Director,"john d. mclanahan,jr.",2015,,,7345,0.021
First American Bancorp,Director,"john d. mclanahan,jr.",2015,,,79298,0.22649999999999998
First American Bancorp,Director,catherine m. nix,2017,,,20000,0.0579
First American Bancorp,Director General Counsel,"john d. mclanahan,jr.",2017,,,88701,0.2568
First American Bancorp,Director General Counsel,"john d. mclanahan,jr.",2017,,,8131,0.0235
First American Bancorp,Director General Counsel,"john d. mclanahan,jr.",2017,,,79298,0.2296
First American Bancorp,Director General Counsel,"john d. mclanahan,jr.",2017,,,1272,0.0037
First American Bancorp,Chairman of the Board,"john d. mclanahan,jr.",2017,,,88701,0.2568
First American Bancorp,Chairman of the Board,"john d. mclanahan,jr.",2017,,,8131,0.0235
First American Bancorp,Chairman of the Board,"john d. mclanahan,jr.",2017,,,79298,0.2296
First American Bancorp,Chairman of the Board,"john d. mclanahan,jr.",2017,,,1272,0.0037
First American Bancorp,Director,catherine m. nix,2018,,,20000,0.0583
First American Bancorp,Director General Counsel,"john d. mclanahan,jr.",2018,,,88968,0.2595
First American Bancorp,Director General Counsel,"john d. mclanahan,jr.",2018,,,8131,0.023700000000000002
First American Bancorp,Director General Counsel,"john d. mclanahan,jr.",2018,,,79298,0.23129999999999998
First American Bancorp,Director General Counsel,"john d. mclanahan,jr.",2018,,,1539,0.0045000000000000005
First American Bancorp,Director General Counsel,"john d. mclanahan,jr.",2019,,,90025,0.2639
First American Bancorp,Director General Counsel,"john d. mclanahan,jr.",2019,,,8991,0.0263
First American Bancorp,Director General Counsel,"john d. mclanahan,jr.",2019,,,79298,0.2325
First American Bancorp,Director General Counsel,"john d. mclanahan,jr.",2019,,,1736,0.0051
First American Bancorp,Director,"john d. mclanahan,jr.",2022,,,91090,0.2776
First American Bancorp,Director,"john d. mclanahan,jr.",2022,,,8991,0.0273
First American Bancorp,Director,"john d. mclanahan,jr.",2022,,,79298,0.2414
First American Bancorp,Director,"john d. mclanahan,jr.",2022,,,2335,0.0070999999999999995
First American Bancorp,,cede and co,2022,,,16132,0.049100000000000005
First American Bancorp,,the mclanahan children's irv. trust agreement,2022,,,79298,0.2414
First American Bancorp,,catherine m. nix,2022,,,20000,0.060899999999999996
First American Bancorp,Director,"john d. mclanahan,jr.",2023,,COMMON STOCK - DIRECTLY OWNED,9577,0.0291
First American Bancorp,Director,"john d. mclanahan,jr.",2023,,COMMON STOCK-CONTROLLED AS TRUSTEE,2335,0.0070999999999999995
"First Bancorporation of Geraldine,Inc.",Chairman/Director,robert decker,2015,1084753,Common,2700,0.0509
"First Bancorporation of Geraldine,Inc.",,coolidge isbell,2015,1084753,Common,5538,0.1045
"First Bancorporation of Geraldine,Inc.",Director,vicki anderson,2015,1084753,Common,5868,0.1107
"FIRST BANCORPORATION OF GERALDINE,INC.",Chairman/ Director,robert decker,2018,,Common,3260,0.0623
"FIRST BANCORPORATION OF GERALDINE,INC.",Director,vicki anderson,2018,,Common,5875,0.1124
"FIRST BANCORPORATION OF GERALDINE,INC.",Chairman/Director,robert decker,2019,,Common,3344,0.0639
"FIRST BANCORPORATION OF GERALDINE,INC.",Director,vicki anderson,2019,,Common,5875,0.1124
"FIRST BANCORPORATION OF GERALDINE,INC.",Chairman/ Director,robert decker,2021,,Common,3500,0.0669
"FIRST BANCORPORATION OF GERALDINE,INC.",Director,vicki anderson,2021,,Common,5875,0.1124
"FIRST BANCORPORATION OF GERALDINE,INC.",,auburn university foundation,2021,,Common,5538,0.1059
First Bank of Boaz,Director,joseph paul abercrombie,2015,1082889,,46300,0.0553
FIRST BOAZ BANCORPORATION,Director,joseph paul abercrombie,2018,,,50500,0.0616
First Boaz Bancorporation,Director,joseph paul abercrombie,2019,,,50500,0.061900000000000004
First Bank of Boaz,Director,horace e. kilpatrick jr.,2020,,,60300,0.0741
"First Brundidge Bancshares,Inc.",Chairman; Director,"james t. ramage,iii",2015,1245684,,11650,0.1165
"First Brundidge Bancshares,Inc.","Chairman,Chairman and Director","james t. ramage,iii",2018,1245684,,11650,0.1165
"First Bancshares of Stevenson,Inc.",Director Chairman,carolyn hall,2016,1869987,Common,12456,0.0757
"First Bancshares of Stevenson,Inc.",Director Chairman,carolyn hall,2018,,Common,12456,0.07730000000000001
"FIRST BANCSHARES OF STEVENSON,INC",Director,carolyn hall,2020,,Common,12500,0.0775
"FIRST BANCSHARES OF STEVENSON,INC",Director Chairman,carolyn hall,2021,,Common,12500,0.0784
"First Bank Shares of the South East,Inc.",President & Director,zach johnson,2015,12030,Common Stock,92,0.467
"First Bank Shares of the South East,Inc.",Director,jonathon martin taylor,2015,,Common Stock,11,0.0558
"First Bank Shares of the South East,INC.",Director,jonathon martin taylor,2018,1134041,,11,0.0576
"First Bank Shares of the South East,INC.",Director,jonathon martin taylor,2019,,Common Stock,11,0.0576
"First Bank Shares of the South East,INC",Director,jonathon martin taylor,2020,,,11,0.0576
Annual Report - FR Y-6,Director,jonathon martin taylor,2021,,Common Stock,20,0.122
"First Bank Shares of the South East,INC",Director,jonathon martin taylor,2022,,Common Stock,20,0.122
"First Bank Shares of the South East,Inc.",Director,jonathon martin taylor,2023,,,17,0.1056
First Burke Banking Company,Director,"j. c. palmer,iii",2016,1137752,Common Stock,3665,0.3395
First Burke Banking Company,Director,leigh o. jackson,2016,1137752,Common Stock,1935,0.17920000000000003
FIRST BURKE BANK COMPANY,President/Director/Treasurer,"j. c. palmer,iii",2016,,Common Stock,3665,0.3395
FIRST BURKE BANK COMPANY,,leigh o. jackson,2016,,Common Stock,1935,0.17920000000000003
First Burke Banking Company,Director,"j. c. palmer,iii",2018,31134,Common Stock,3665,0.34950000000000003
First Burke Banking Company,Director,"j. c. palmer,iii",2019,,Common Stock,3665,0.35700000000000004
First Burke Banking Company,,leigh o. jackson,2019,,Common Stock,1935,0.1885
FIRST BURKE BANK COMPANY,President/Director,"j. c. palmer,iii",2019,,Common Stock,3665,0.35700000000000004
FIRST BURKE BANK COMPANY,President/Director,"j. c. palmer,iii",2021,,Common Stock,3665,0.3711
FIRST BURKE BANK COMPANY,,leigh o. jackson,2021,,Common Stock,1935,0.1959
"First Cahawba Bancshares,Inc.",Director Chairman,catesby jones,2022,,Common Stock,111875,0.1
"First Cahawba Bancshares,Inc.",Director,thomas jones,2022,,Common Stock,107500,0.0964
"First Camden Bancshares,Inc.",Director & Chairman,"a.l. johnson,jr",2016,,Common Stock,9541,0.057999999999999996
"First Camden Bancshares,Inc.",Director & Chairman,"a.l. johnson,jr",2018,466932,Common Stock,9291,0.055999999999999994
"First Camden Bancshares,Inc.",Director & Chairman,"a.l. johnson,jr",2019,,Common Stock,9291,0.057300000000000004
"First Camden Bancshares,Inc.",Director & Chairman,"a.l. johnson,jr",2020,,Common Stock,9291,0.0575
First Century Bancorp.,Director,"william a. bagwell,jr.",2015,2997739,Common Stock,469,0.0751
First Century Bancorp.,Director,"william a. bagwell,jr.",2015,2997739,Warrants,889,0.1153
First Century Bancorp.,Chairman of the Board/CEO,william r. blanton,2015,2997739,Common Stock,1451,0.2323
First Century Bancorp.,Chairman of the Board/CEO,william r. blanton,2015,2997739,Warrants,2720,0.2329
First Century Bancorp.,Director,"william m. evans,jr.",2015,2997739,Common Stock,356,0.057
First Century Bancorp.,Director,"william m. evans,jr.",2015,2997739,Warrants,253,0.036699999999999997
First Century Bancorp.,Director,richard t. smith,2015,2997739,Common Stock,475,0.0761
First Century Bancorp.,Director,richard t. smith,2015,2997739,Warrants,461,0.0635
First Century Bancorp.,Director,"william a. bagwell,jr.",2017,2997739,Common Stock,469,0.0751
First Century Bancorp.,Director,"william a. bagwell,jr.",2017,2997739,Warrants,889,0.1275
First Century Bancorp.,Chairman of the Board/CEO,william r. blanton,2017,2997739,Common Stock,1451,0.2323
First Century Bancorp.,Chairman of the Board/CEO,william r. blanton,2017,2997739,Warrants,2720,0.3901
