Internal Title,Person,Fiscal Year,Bank_y,Stock Class,Number of Shares,Percentage of Ownership,RSSD_ID_y
President and Director,"J. W. Crews,Jr.",2020,Crews Banking Corporation,,21274,49.70%,
President and Director,"J. W. Crews,Jr.",2020,Crews Banking Corporation,,21274,49.70%,
President and Director,"J. W. Crews,Jr.",2020,Crews Banking Corporation,,21274,49.70%,
,W. Markam Crews,2020,Crews Banking Corporation,,7176,16.77%,
,W. Markam Crews,2020,Crews Banking Corporation,,7176,16.77%,
,W. Markam Crews,2020,Crews Banking Corporation,,7176,16.77%,
Chairman & CEO and Director of Crews Banking Corporation.,"J. W. Crews,Jr.",2021,Crews Banking Corporation,,21274,49.70%,1081239
Director,W. Markam Crews,2021,Crews Banking Corporation,,7176,16.77%,1081239
Director,W. Markam Crews,2021,Crews Banking Corporation,,7176,16.77%,1081239
"Director,Secretary and Treasurer",Dena M. Aloian Crews,2021,Crews Banking Corporation,,7176,16.77%,1081239
"Director,Secretary and Treasurer",Dena M. Aloian Crews,2021,Crews Banking Corporation,,7176,16.77%,1081239
"Director,Secretary and Treasurer",Dena M. Aloian Crews,2021,Crews Banking Corporation,,7176,16.77%,1081239
Chairman & CEO and Director of Crews Banking Corporation.,"J. W. Crews,Jr.",2022,Crews Banking Corporation,"as Trustee,n/a",21274,49.70%,1081239
Chairman & CEO and Director of Crews Banking Corporation.,"J. W. Crews,Jr.",2022,Crews Banking Corporation,"as Trustee,n/a",21274,49.70%,1081239
Chairman & CEO and Director of Crews Banking Corporation.,"J. W. Crews,Jr.",2022,Crews Banking Corporation,"as Trustee,n/a",21274,49.70%,1081239
Chairman & CEO and Director of Crews Banking Corporation.,"J. W. Crews,Jr.",2022,Crews Banking Corporation,"as Trustee,n/a",21274,49.70%,1081239
Chairman & CEO and Director of Crews Banking Corporation.,"J. W. Crews,Jr.",2022,Crews Banking Corporation,"as Trustee,n/a",21274,49.70%,1081239
Director,W. Markam Crews,2022,Crews Banking Corporation,,7176,16.77%,1081239
Director,W. Markam Crews,2022,Crews Banking Corporation,,7176,16.77%,1081239
Director,W. Markam Crews,2022,Crews Banking Corporation,,7176,16.77%,1081239
Director,W. Markam Crews,2022,Crews Banking Corporation,,7176,16.77%,1081239
Director,W. Markam Crews,2022,Crews Banking Corporation,,7176,16.77%,1081239
,Keelin Anne Crews Stauffer,2022,Crews Banking Corporation,,1644,3.84%,1081239
,Matthew A. Crews,2022,Crews Banking Corporation,,1644,3.84%,1081239
,Patrick M. Crews,2022,Crews Banking Corporation,,1644,3.84%,1081239
Principal Shareholder,Citizens Savings Bank & Trust ESOP,2016,"CSB & T Bancorp,Inc.",,29948,20.45%,3602227
Principal Shareholder,National Community Investment Fund,2016,Citizens Bancshares Corporation,,105208,5.06%,
Principal Shareholder,Citizens Savings Bank & Trust ESOP,2021,"CSB & T Bancorp,Inc.",,29948,19.58%,
,"Cullman Savings Bank,MHC",2018,"Cullman Bancorp,Inc",common stock,1403731,58%,
Director,Don Jenkins,2015,"CUMBERLAND BANCORP,INC.",Common Stock,30000,3.3551%,
Director,Don Jenkins,2015,"CUMBERLAND BANCORP,INC.",Warrants for Common Stock,20000,2.2368%,
Director,Anthony T. Moore,2015,"CUMBERLAND BANCORP,INC.",Common Stock,105450,11.5353%,
Director,Anthony T. Moore,2015,"CUMBERLAND BANCORP,INC.",Warrants for common stock,40000,4.3757%,
Director,Don Jenkins,2016,"CUMBERLAND BANCORP,INC.",Common Stock,50000,5.1274%,
Director,Don Jenkins,2016,"CUMBERLAND BANCORP,INC.",Common Stock,50000,5.1274%,
Director,Don Jenkins,2016,"CUMBERLAND BANCORP,INC.",Common Stock,50000,5.1274%,
Director,Anthony T. Moore,2016,"CUMBERLAND BANCORP,INC.",Common Stock,145450,14.9157%,
Director,Anthony T. Moore,2016,"CUMBERLAND BANCORP,INC.",Common Stock,145450,14.9157%,
Director,Anthony T. Moore,2016,"CUMBERLAND BANCORP,INC.",Common Stock,145450,14.9157%,
Director,"John Wender,Jr.",2014,"Cumberland Bancshares,Inc.",Class B,263700,10,1139288
,Toby Woodmore,2014,"Cumberland Bancshares,Inc.",Class B,206600,8,1139288
Director & Secretary,Toby Woodmore,2014,"Cumberland Bancshares,Inc.",Class B,206600,8,1139288
Director,Philip W. Holder,2014,"Cumberland Bancshares,Inc.",Class B,1057200,42,1139288
,Philip W. Holder,2014,"Cumberland Bancshares,Inc.",Class B,1057200,42,1139288
"Director,President and CEO",Philip W. Holder,2014,"Cumberland Bancshares,Inc.",Class B,1057200,42,1139288
Director,"John Wender,Jr.",2017,"Cumberland Bancshares,Inc.",Class B,263700,10,
Director & Secretary,Toby Woodmore,2017,"Cumberland Bancshares,Inc.",Class B,206600,8,
,Wanda W. Holder,2017,"Cumberland Bancshares,Inc.",Class B,320000,12,
"Director,President and CEO",Philip W. Holder,2017,"Cumberland Bancshares,Inc.",Class B,737200,28,
Director,"Tom P. Thompson,Jr.",2017,"Cumberland Bancshares,Inc.",Class B,139000,5,
Director,"John Wender,Jr.",2019,"Cumberland Bancshares,Inc.",Class B,263700,10,
Director,"John Wender,Jr.",2019,"Cumberland Bancshares,Inc.",Class B,263700,10,
Director & Secretary,Toby Woodmore,2019,"Cumberland Bancshares,Inc.",Class B,206600,8,
Director & Secretary,Toby Woodmore,2019,"Cumberland Bancshares,Inc.",Class B,206600,8,
Director & Secretary,Toby Woodmore,2019,"Cumberland Bancshares,Inc.",Class B,206600,8,
"Director,President and CEO",Philip W. Holder,2019,"Cumberland Bancshares,Inc.",Class B,737200,28,
Director and Chairman,Philip W. Holder,2019,"Cumberland Bancshares,Inc.",Class B,737200,28,
Director and Chairman,Philip W. Holder,2019,"Cumberland Bancshares,Inc.",Class B,737200,28,
President & Chief Financial Officer,John Marino,2022,"Cypress Capital Group,Inc.",,,,
,,2023,BancSouth Corporation,,,,
,,2023,"Central Financial Holdings,Inc.",,,,
,,2023,"Citizens Bancorporation,Inc.",,,,
,,2023,CITIZENS BANCSHARES INC,,,,
,,2023,"Coffee County Bancshares,Inc.",,,,
,,2023,"Craft Bancshares,Inc.",,,,
,,2023,"Cypress Capital Group,Inc.",,,,
,,2023,Edison Bancshares Inc.,,,,
,,2023,"FIRST BANCSHARES OF STEVENSON,INC",,,,
,,2023,"FIRST COMMUNITY BANCORP,INC.",,,,
,,2023,"FIRST COMMUNITY BANCORP,INC.",,,,
,,2023,"First Dozier Bancshares,Inc.",,,,
,,2023,First St Charles Bancshares inc,,,,
,,2023,"Georgia Community Bancorp,Inc.",,,,
,,2023,"Hazlehurst Investors,Inc.",,,,
,,2023,"Magnolia Bankshares,Inc.",,,,
,,2023,"Morton Bancorp,Inc.",,,,
,,2023,"Moundville Bancshares,Inc.",,,,
,,2023,"OptimumBank Holdings,Inc.",,,,
,,2023,"SNB Holdings,Inc.",,,,
,,2023,"Southern National Banks,Inc",,,,0001129823
,,2023,SunMark Bancshares Inc,,,,
,,2023,"Volunteer State Bancshares,Inc.",,,,
,,2023,"WCSB HOLDING COMPANY,INC.",,,,
Vice Chairman,David E. Wright,2014,"CAMILLA BANCSHARES,INC.",,760,6.2,
,Allison Lee Grandberry Trust,2014,"Centon Bancorp,Inc.",Common Stock,916.28,25.91%,
,Allison Lee Grandberry,2014,"Centon Bancorp,Inc.",Common Stock,993.45,28.09%,
Director,Earl Ryser,2014,"Central Alabama Bancshares,Inc.",,,0.86%,
Director,Robert M. Barrett,2014,"Central Alabama Bancshares,Inc.",,,2.30%,
Director,Robert M. Barrett,2014,"Central Alabama Bancshares,Inc.",,,2.30%,
Director,Robert M. Barrett,2014,"Central Alabama Bancshares,Inc.",,,2.30%,
Director,"Spencer J. Coleman,Sr. MD",2014,"Central Alabama Bancshares,Inc.",,,2.30%,
Director,Sheila Spiera,2014,"Central Alabama Bancshares,Inc.",,,2.00%,
Director,Albert Striplin,2014,"Central Alabama Bancshares,Inc.",,,1.10%,
Director,Albert Striplin,2014,"Central Alabama Bancshares,Inc.",,,1.10%,
Director,Albert Striplin,2014,"Central Alabama Bancshares,Inc.",,,1.10%,
Director,Albert Striplin,2014,"Central Alabama Bancshares,Inc.",,,1.10%,
Director,Albert Striplin,2014,"Central Alabama Bancshares,Inc.",,,1.10%,
Chairman/Director,"Travis Cosby,III",2014,"Central Alabama Bancshares,Inc.",,,2.30%,
President and CEO Director,Michael R. Morgan,2014,"Central Alabama Bancshares,Inc.",,,1.40%,
Director,John R. Williams,2014,"Central Alabama Bancshares,Inc.",,,1.80%,
Director,"Johnny M. Carothers,Jr.",2014,"Central Alabama Bancshares,Inc.",,,1.92%,
EVP/CFO/Director,Rana S. Futral,2014,"Central Alabama Bancshares,Inc.",,,1.20%,
Director,Brian Barrett,2014,"Central Alabama Bancshares,Inc.",,,0.002%,
Chairman of the Board,John R. Phillips,2014,Central Georgia Banking Company,,35,18.92%,3184125.
Chairman of the Board,John R. Phillips,2014,Central Georgia Banking Company,,35,18.92%,3184125.
Chairman of the Board,John R. Phillips,2014,Central Georgia Banking Company,,35,18.92%,3184125.
Director/Secretary,"Leo L. Phillips,Jr.",2014,Central Georgia Banking Company,,23,12.43%,3184125.
Director/Secretary,"Leo L. Phillips,Jr.",2014,Central Georgia Banking Company,,23,12.43%,3184125.
Director/Secretary,"Leo L. Phillips,Jr.",2014,Central Georgia Banking Company,,23,12.43%,3184125.
Director & Chairman,"William M. Schroeder,Sr.",2014,Central State Bancorporation,,714,10.1%,1084593
Director & Secretary,David P. Downs,2014,Central State Bancorporation,,1539,21.9%,1084593
Director,Shane D. Schroeder,2014,Central State Bancorporation,,364,5.1%,1084593
Director,Shanda S. Watts,2014,Central State Bancorporation,,489,6.9%,1084593
Director,"William M. Schroeder,Jr.",2014,Central State Bancorporation,,489,6.9%,1084593
,Robert I. Gulledge,2014,Citizens' Capital Corporation,Common Stock,16739,18.14%,1144040
Director,"John A. Nelson,II",2014,Citizens' Capital Corporation,Common Stock,5000,5.42%,1144040
Director,"John A. Nelson,II",2014,Citizens' Capital Corporation,Common Stock,5000,5.42%,1144040
Director,Linda W. Gulledge,2014,Citizens' Capital Corporation,Common Stock,21454,23.25%,1144040
"Director,President and Chairman",Thomas W. Gulledge,2014,Citizens' Capital Corporation,Common Stock,7394,8.01%,1144040
Director,Robert M. Goodfriend,2014,"Citizens National Bancorp,Inc.",,10890,7.322%,1249589
Banking,Meredith Willson,2014,"Citizens National Bancorp,Inc.",,24459,16.445%,1249589
Secretary/Director,Mintie C. Willson,2014,"Citizens National Bancorp,Inc.",,11572,7.781%,1249589
,Debra McKenzie Willson,2014,"Citizens National Bancorp,Inc.",,263,0.177%,1249589
,Hugh M. Willson S Corp,2014,"Citizens National Bancorp,Inc.",,16354,10.996%,1249589
,Hugh M. Willson S Corp,2014,"Citizens National Bancorp,Inc.",,2551,1.715%,1249589
,Hugh M. Willson S Corp,2014,"Citizens National Bancorp,Inc.",,16354,10.996%,1249589
,Hugh M. Willson S Corp,2014,"Citizens National Bancorp,Inc.",,2551,1.715%,1249589
Banking,Paul G. Willson,2014,"Citizens National Bancorp,Inc.",,25223,16.959%,1249589
Chairman,James Lee Clayton,2014,"Clayton Bancorp,Inc.",Common Stock,24420784.29,99.13%,315 3242
Director and Chairman,"Leslie D. Ligon,Jr.",2014,"Clinton Bancshares,Inc.",,1296,13.99%,1085460
Director and Chairman,"Leslie D. Ligon,Jr.",2014,"Clinton Bancshares,Inc.",,1296,13.99%,1085460
Director and Chairman,"Leslie D. Ligon,Jr.",2014,"Clinton Bancshares,Inc.",,1296,13.99%,1085460
Director and Chairman,"Leslie D. Ligon,Jr.",2014,"Clinton Bancshares,Inc.",,1296,13.99%,1085460
Director and Vice Chairman,"L.C. McKnight,Jr.",2014,"Clinton Bancshares,Inc.",,712,7.69%,1085460
Director,Dennis R. Aucoin,2014,"Clinton Bancshares,Inc.",,869,9.38%,1085460
Director,Dennis R. Aucoin,2014,"Clinton Bancshares,Inc.",,869,9.38%,1085460
Director & Chairman & President,Jeffrey A. Maffett,2014,Colonial Banc Corp,Common Stock,2407,51.21%,1070040
Director & Chairman & President,Jeffrey A. Maffett,2014,Oculina Bane Corp,Common Stock,73200,5.23%,
Director & Chairman & President,Jeffrey A. Maffett,2014,Colonial Banc Corp,Common Stock,2407,51.21%,1070040
Director & Chairman & President,Jeffrey A. Maffett,2014,Oculina Bane Corp,Common Stock,73200,5.23%,
Director & Chairman & President,Jeffrey A. Maffett,2014,Colonial Banc Corp,Common Stock,2407,51.21%,1070040
Director & Chairman & President,Jeffrey A. Maffett,2014,Oculina Bane Corp,Common Stock,73200,5.23%,
Director & President/Chairman of the Board,David Kessler,2014,"Commerce Bancshares,Inc.",Common Stock,1243,14.21%,3135471
Director,Melvin Schudmak,2014,"Commerce Bancshares,Inc.",Common Stock,1372,15.69%,3135471
"Chairman of the Board of Directors,Director - Community First Bank & Trust","Eslick E. Daniel,M.D.",2014,"Community First,Inc.",Common Stock,214332,6.54%,
Chairman of the Board of Directors,"Eslick E. Daniel,M.D.",2015,"Community First,Inc.",Total Shares of Common Stock,214332,6.54%,3108194
Chairman of the Board of Directors,"Eslick E. Daniel,M.D.",2015,"Community First,Inc.",Shares owned by Dr. Daniels Wife,9246,,3108194
Chairman of the Board of Directors,"Eslick E. Daniel,M.D.",2015,"Community First,Inc.",Daniel Family Partnership,101002,,3108194
Chairman of the Board of Directors,"Eslick E. Daniel,M.D.",2015,"Community First,Inc.",Shares held by various relatives,40320,,3108194
Chairman of the Board of Directors,"Eslick E. Daniel,M.D.",2015,"Community First,Inc.",Shares held by various relatives,7070,,3108194
Chairman of the Board of Directors,"Eslick E. Daniel,M.D.",2015,"Community First,Inc.",Shares or Options to purchase,1200,,3108194
Chairman of the Board of Directors,"Eslick E. Daniel,M.D.",2015,"Community First,Inc.",Shares as primary owner,55494,,3108194
Director,"Ruskin Alexander Vest,Jr.",2015,"Community First,Inc.",Total Shares of Common Stock,170229,5.20%,3108194
Director,"Ruskin Alexander Vest,Jr.",2015,"Community First,Inc.",Shares as primary owner,170229,,3108194
Former Director & Chairman,Estate of James G. Raines,2014,"Dawson Bancshares,Inc",,11830,30.36%,1085536
Director,Jack Laing,2014,"Dawson Bancshares,Inc",,2300,5.90%,1085536
Former Director & Chairman,Estate of James G. Raines,2015,"Dawson Bancshares,Inc.",,11830,30.36%,1085536
Former Chairman & President,Estate of James G. Raines,2015,"Dawson Bancshares,Inc.",,11830,30.36%,1085536
Director,Jack Laing,2015,"Dawson Bancshares,Inc.",,2360,6.06%,1085536
President | CEO,Robert E. Williams,2023,"Dawson Bancshares,Inc.",,18561,16.55%,
Secretary - Treasurer,Barry N. Lyle,2023,"Dawson Bancshares,Inc.",,6328,5.63%,
Director,"James H. Faircloth,Jr.",2023,"Dawson Bancshares,Inc.",,17530,15.63%,
Director,"Theodore G. Elmore,Jr.",2023,"Dawson Bancshares,Inc.",,10512,9.36%,
Director,Robert H. Albritton,2023,"Dawson Bancshares,Inc.",,9139,8.14%,
Director,Charles T. McElmurray,2023,"Dawson Bancshares,Inc.",,8860,7.89%,
Director,William B. Bostwick,2023,"Dawson Bancshares,Inc.",,5472,4.87%,
Director,William E. Reynolds,2023,"Dawson Bancshares,Inc.",,5362,4.77%,
Director President & CEO,Donald Richardson,2014,Dickson Financial Corporation,,4019,,108 5299
Director,Donald Richardson,2016,Dickson Financial Corporation,common stock,4750,,1085899
President & CEO,Donald Richardson,2016,Dickson Financial Corporation,common stock,4750,,1085899
Director President & CEO,Donald Richardson,2017,Dickson Financial Corporation,common stock,5085,6.03%,
"Director,President & CEO",Donald Richardson,2019,Dickson Financial Corporation,common stock,5135,,
Chairman,Don Wenner,2022,Community State Bank,common,825,19.54%,
Chairman,Don Wenner,2022,Community State Bank,warrants,825,9.91%,
Vice Chair,Robert Peterson,2022,Community State Bank,common,150,3.55%,
Vice Chair,Robert Peterson,2022,Community State Bank,warrants,150,1.80%,
Chairman,Don Wenner,2023,DLP Bancshares inc,common,850,20.13%,
Chairman,Don Wenner,2023,DLP Bancshares inc,warrants,825,9.76%,
Vice Chair,Robert Peterson,2023,DLP Bancshares inc,common,150,3.55%,
Vice Chair,Robert Peterson,2023,DLP Bancshares inc,warrants,150,1.80%,
EVP,Luke E. Morgan,2015,"DNB Financial Services,Inc",,83000,10.0626%,
Director & President,Stuart S. Smith,2015,"DNB Financial Services,Inc",,69500,8.4259%,
Director,Kerry Van Moore,2015,"DNB Financial Services,Inc",,80333,9.7393%,
Director & Chairman,"Elton D. Brooks,Jr.",2015,"DNB Financial Services,Inc",,133333,16.1648%,
Director & Chairman,"Elton D. Brooks,Jr.",2015,"DNB Financial Services,Inc",,133333,16.1648%,
Director & Chairman,"Elton D. Brooks,Jr.",2015,"DNB Financial Services,Inc",,133333,16.1648%,
Director & Chairman,"Elton D. Brooks,Jr.",2015,"DNB Financial Services,Inc",,133333,16.1648%,
EVP,Luke E. Morgan,2016,Douglas National Bank,,83000,10.1612%,3049626
Director & President,Stuart S. Smith,2016,Douglas National Bank,,68500,8.3860%,3049626
Director,Kerry Van Moore,2016,Douglas National Bank,,80333,9.8347%,3049626
Director & Chairman,"Elton D. Brooks,Jr.",2016,Douglas National Bank,,100000,12.2424%,3049626
Director & Chairman,"Elton D. Brooks,Jr.",2016,Douglas National Bank,,100000,12.2424%,3049626
Director & Chairman,"Elton D. Brooks,Jr.",2016,Douglas National Bank,,100000,12.2424%,3049626
Director & Chairman,"Elton D. Brooks,Jr.",2016,Douglas National Bank,,100000,12.2424%,3049626
EVP,Luke E. Morgan,2017,"DNB Financial Services,Inc.",,83000,10.1570%,
Director & President,Stuart S. Smith,2017,"DNB Financial Services,Inc.",,68500,8.3826%,
Director,Kerry Van Moore,2017,"DNB Financial Services,Inc.",,80333,9.8307%,
Director & Chairman,"Elton D. Brooks,Jr.",2017,"DNB Financial Services,Inc.",,100000,12.2374%,
Director & Chairman,"Elton D. Brooks,Jr.",2017,"DNB Financial Services,Inc.",,100000,12.2374%,
Director & Chairman,"Elton D. Brooks,Jr.",2017,"DNB Financial Services,Inc.",,100000,12.2374%,
Director & Chairman,"Elton D. Brooks,Jr.",2017,"DNB Financial Services,Inc.",,100000,12.2374%,
Director & Chairman,"Elton D. Brooks,Jr.",2017,"DNB Financial Services,Inc.",,100000,12.2374%,
Director & Chairman,"Elton D. Brooks,Jr.",2017,"DNB Financial Services,Inc.",,100000,12.2374%,
Director & Chairman,"Elton D. Brooks,Jr.",2017,"DNB Financial Services,Inc.",,100000,12.2374%,
EVP,Luke E. Morgan,2019,Douglas National Bank,,83000,10.0993%,
Director & President,Stuart S. Smith,2019,Douglas National Bank,,66575,8.1008%,
Director,Kerry Van Moore,2019,Douglas National Bank,,80333,9.7748%,
Director & Chairman,"Elton D. Brooks,Jr.",2019,Douglas National Bank,,100000,12.1679%,
Director & Chairman,"Elton D. Brooks,Jr.",2019,Douglas National Bank,,100000,12.1679%,
Director & Chairman,"Elton D. Brooks,Jr.",2019,Douglas National Bank,,100000,12.1679%,
Director & Chairman,"Elton D. Brooks,Jr.",2019,Douglas National Bank,,100000,12.1679%,
Director & Chairman,"Elton D. Brooks,Jr.",2019,Douglas National Bank,,100000,12.1679%,
Director & President,"Elton D. Brooks,Jr.",2021,"DNB Financial Services,Inc.",,100000,12.0724%,
Director,Luke E. Morgan,2021,"DNB Financial Services,Inc.",,83000,10.0213%,
Director,Kerry Van Moore,2021,"DNB Financial Services,Inc.",,81333,9.8200%,
Director,"Elton D. Brooks,Jr.",2022,"DNB Financial Services,Inc.",Director,100000,12.0491%,
Director,Luke E. Morgan,2022,"DNB Financial Services,Inc.",Director,83000,10.0008%,
Director & President,Stuart S. Smith,2022,"DNB Financial Services,Inc.",Director & President,66575,8.0217%,
Director & Chairman,Kerry Van Moore,2022,"DNB Financial Services,Inc.",Director & Chairman,81333,9.7999%,
Director & Chairman of the Board,"Floyd C. Davis,Sr.",2015,"East Alabama Financial Group,Inc.",Common Stock,"68,400",13.15%,
Director & Chairman of the Board,"Floyd C. Davis,Sr.",2015,"East Alabama Financial Group,Inc.",Common Stock,"68,400",13.15%,
Director,Debbie Meadows,2015,"East Alabama Financial Group,Inc.",Common Stock,"27,228",5.24%,
,Floyd Davis Family Partnership,2015,"East Alabama Financial Group,Inc.",Common Stock,"120,050",23.08%,
Director & Chairman of the Board,"Floyd C. Davis,Sr.",2016,"East Alabama Financial Group,Inc.",Common Stock,68400,13.15%,2804855
Director & Chairman of the Board,"Floyd C. Davis,Sr.",2016,"East Alabama Financial Group,Inc.",Common Stock,68400,13.15%,2804855
Director,Debbie Meadows,2016,"East Alabama Financial Group,Inc.",Common Stock,27228,5.24%,2804855
,Floyd Davis Family Partnership,2016,"East Alabama Financial Group,Inc.",Common Stock,120050,23.08%,2804855
Director & Chairman of the Board,"Floyd C. Davis,Sr.",2017,"East Alabama Financial Group,Inc.",Common Stock,68400,13.15%,
Director & Chairman of the Board,"Floyd C. Davis,Sr.",2017,"East Alabama Financial Group,Inc.",Common Stock,68400,13.15%,
Director,Debbie Meadows,2017,"East Alabama Financial Group,Inc.",Common Stock,27228,5.24%,
,Floyd Davis Family Partnership,2017,"East Alabama Financial Group,Inc.",Common Stock,120050,23.08%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
President,William Henry Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
,Jerry Newman Carr,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,3043.50,16.11%,
Vice President & Director,Charles E. Jones,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,2836,15.13%,
Vice President & Director,Charles E. Jones,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,2836,15.13%,
Vice President & Director,Charles E. Jones,2014,"ENTERPRISE CAPITAL CORPORATION,INC.",,2836,15.13%,
