Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Percentage of Voting Shares,RSSD_ID,Percentage of Voting Shares in Subsidiaries,URL_Bank_Name,Table Presence
"Bastrop Bancshares,Inc.""""",Director,"Foster,Gayle""""",Ranching,The Adlinie Rathman IRA Protection Trust,2023,Investments,6.18%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Foster,Gayle""""",Ranching,Rathman 2008 Irrevocable Trust,2023,Investments,6.18%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Foster,Gayle""""",Ranching,Gayle Foster Trust,2023,Investments,6.18%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Foster,Gayle""""",Ranching,Rathman Management Trust,2023,Investments,6.18%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""","President and CEO,Interim CFO""","Director"",Sharp","Reid"",n/a""",Wexford Ranch,2023,N/A,2.38%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Valderrama,Fil""""",n/a,"Filocity,LLC""""",2023,n/a,0.47%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Valderrama,Fil""""",n/a,"Buck Lane,LLC""""",2023,n/a,0.47%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Ingram,Clay""""",Real Estate,"ING Holdings,Inc.""""",2023,n/a,0.60%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,"CCW Kase Investments,LLC""""",2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,"E6 Land & Cattle,LLC""""",2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,"CCJ Land & Cattle,LLC""""",2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,"ALL ING Investments,LLC""""",2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,"Square Land & Cattle,LLC""""",2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,"Quantum Kase Leasing,LLC""""",2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,Pinewood RV Estates LLC,2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,Old McDade LLC,2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,"696 Holdings,LLC""""",2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,"Smithville Self Storage,LLC""""",2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,SimLife LLC,2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,Elgin RV Estates LLC,2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,"SIMRental,LLC""""",2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,Lexington Road Ranch LLC,2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,Old McDade Resources LLC,2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Director,"Mauck,Cody""""",Real Estate,"143 Roy Davis,LLC""""",2023,n/a,0.13%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Secretary to the Board,"Brooks,Deleigh""""",n/a,Rosenberg Farms,2023,N/A,0.01%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Secretary to the Board,"Brooks,Deleigh""""",n/a,The Brooks Great Grandchildren's Trust,2023,N/A,0.01%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Secretary to the Board,"Brooks,Deleigh""""",n/a,"BJY Management,LLC""""",2023,N/A,0.01%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",Secretary to the Board,"Brooks,Deleigh""""",n/a,"BJY Partnership,LP""""",2023,N/A,0.01%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",n/a,Bob & Sue Long Revocable Trust,n/a,n/a,2023,Principal Securities Holder,10.32%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""",n/a,"Bastrop Bancshares,Inc. ESOP""""",n/a,n/a,2023,Principal Securities Holder,19.31%,n/a,0.00%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Bastrop Bancshares,Inc.""""","Director,President/Secretary""""",Reid Sharp,n/a,"Bastrop Holdings,Inc.""""",2023,Top tier bank holding company,0%,n/a,0%,"Bastrop Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
BENIC HOLDINGS,INC.,President,n/a,n/a,n/a,2024,n/a,n/a,5217915,"Benic Holdings, Inc._Y-6_2024-12-31T00_00_00_English",insiders
BEULAH BANCORPORATION,INC.,n/a,n/a,n/a,n/a,2024,n/a,n/a,1919976,"Beulah Bancorporation, Inc._Y-6_2024-12-31T00_00_00_English",insiders
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Big Bend Bancshares Corporation_Y-6_2023-12-31T00_00_00_English,none
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Bigfork Bancshares, Inc._Y-6_2024-12-31T00_00_00_English",none
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Black Cat Financial Corp_Y-6_2023-12-31T00_00_00_English,none
Burke & Herbert Financial Services Corp.,Chief Executive Officer* President* Chair,David P. Boyle,n/a,n/a,2023,N/A,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,Executive Officer,Roy E. Halyama,n/a,n/a,2023,N/A,n/a,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,Executive Officer,Jeffrey A. Welch,n/a,n/a,2023,N/A,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,Executive Officer,Joseph F. Collum,n/a,n/a,2023,N/A,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,Executive Officer,Emily S. Debeniotis,n/a,n/a,2023,N/A,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,Executive Officer,Shannon B. Rowan,n/a,n/a,2023,N/A,n/a,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,Executive Officer,Kendrick C. Smith,n/a,n/a,2023,N/A,n/a,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,Executive Officer,Jennifer P. Schmidt,n/a,n/a,2023,N/A,n/a,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,Executive Officer,Kirtan Parikh,n/a,n/a,2023,N/A,n/a,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,E. Hunt Burke,n/a,n/a,2023,N/A,3.99%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,Resources Management Group Inc.,2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,S. L. Hinson Associates LLLP,2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,Kedge Capital LLC,2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,Hinson Development Corporation,2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,Mount Vernon Nursing LLP,2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,"Cereus Investments,LLC""""",2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,Hinson-Mendard Associates,2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,"Interstate Security,LLC""""",2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,"Port AMX,LLC""""",2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,"Port MWY,LLC""""",2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,"Port Royal Pride,LLC""""",2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,Mt. Vernon Professional Condominium Association II,2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,S. Laing Hinson,President,Mt. Vernon Professional Condominium Association III,2023,Principal,1.01%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Mark G. Anderson,President,MGAC Inc.,2023,President,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Mark G. Anderson,President,RLF LLP (UK Partnership),2023,President,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Mark G. Anderson,President,Real Estate Proceeds LLC,2023,President,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Mark G. Anderson,President,Anderson LLC,2023,President,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Mark G. Anderson,President,Mrytle Street LLC,2023,President,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Mark G. Anderson,President,House on Windor LLC,2023,President,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Julian F. Barnwell Jr.,"President,CEO""""",Design & Productions,2023,President & CEO,4.69%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Katherine D. Bonnafé,CEO,"Combined Creative,LLC""""",2023,CEO,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,James M. Burke,CEO,Burke Capital Corporation,2023,Founder & President,3.56%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Nicolas Carosi III,Chair of Board,"Board of Arban & Carosi,Inc.""""",2023,Chairman,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Michael D. Lubeley,n/a,Walsh Colucci Lubeley & Walsh P.C,2023,Principal,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Michael D. Lubeley,n/a,MDL - Reid's LLC,2023,Principal,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Michael D. Lubeley,n/a,MVL Holdings LLC,2023,Principal,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Michael D. Lubeley,n/a,T&M Associate LLC,2023,Principal,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Shawn P. McLaughlin,"President,CEO""""",The McLaughlin Companies LLC,2023,President & CEO,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Shawn P. McLaughlin,"President,CEO""""","McLaughlin Ryder Investments,Inc.""""",2023,President & CEO,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Shawn P. McLaughlin,"President,CEO""""","Management Solutions Plus,Inc.""""",2023,President & CEO,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Jose D. Riojas,"President,Ownership interest""""","Jose. D. Riojas,LLC.""""",2023,Owner,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
Burke & Herbert Financial Services Corp.,DirectorChair,Jose D. Riojas,"President,Ownership interest""""",Union Street Partners. LLC,2023,Owner,<1%,n/a,n/a,Burke & Herbert Financial Services Corp._Y-6_2023-12-31T00_00_00_English,both
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Butte Bank Shares, Inc._Y-6_2024-12-31T00_00_00_English",none
CB Bancshares Corp,Director,Alan Deines,"Managing Director,Co-Head of Fiduciary""""",Beneficient Company Group LP,2022,Banker,0,n/a,n/a,CB Bancshares Corp_Y-6_2022-12-30T00_00_00_English,insiders
CB Bancshares Corp,Director,Britt Nichols,Director,Farmers State Bank,2022,Attorney/Retired,0%,n/a,n/a,CB Bancshares Corp_Y-6_2022-12-30T00_00_00_English,insiders
CB Bancshares Corp,"Chairman,Director/ President""","Director"",Suchitra Padmanabhan""",Chairman,KHRC,2022,Banker,0%,n/a,50%,CB Bancshares Corp_Y-6_2022-12-30T00_00_00_English,insiders
CB Bancshares Corp,Secretary/Director Chairman/Director,Suresh Ramamurthi,CEO,BC Capital Inc,2022,Business,"1,096 (.91%) (Trustee)""""",n/a,100%,CB Bancshares Corp_Y-6_2022-12-30T00_00_00_English,insiders
CB Bancshares Corp,None/Director,Sanjay Mishra,Professor,University of Kansas,2022,Professor,0,n/a,n/a,CB Bancshares Corp_Y-6_2022-12-30T00_00_00_English,insiders
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,CNB Financial Corporation_Y-6_2024-06-30T00_00_00_English,none
"CNB Financial Services,Inc.""""",Director,Kenneth W. Apple,Sole Proprietor,"Kenneth W. Apple,CPA""""",2023,Certified Public Accountant,0.62%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Director,Margarel S. Bartles,Broker,Long & Foster Real Estate,2023,Realtor,0.05%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Director,Thomas A Close,Member,"BTM CPA,LLP""""",2023,Certified Public Accountant,0.37%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Director,Deborah Dhayer,President,Eddie's Tire Service,2023,Tire Sales,12.62%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Director,Jay E. Dick,n/a,n/a,2023,Retired - Manager - Hunters Hardware Inc.,4.13%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",President/CEO,Mark D. Harrell,n/a,n/a,2023,N/A,0.96%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Director,Martha H. Quarantilio,Pharmacist,Reed's Pharmacy,2023,Pharmacist,0.11%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Director,Curtis E. Spicher,President/Owner,"Spicher's Appliances,Inc.""""",2023,Appliance Sales,0.18%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Director & Chairman,Charles S. Trump IV,Attorney at Law,"Trump & Trump,LC""""",2023,Attorney at Law,5.37%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Director,Arlie R. Yost,n/a,n/a,2023,Relired - Appraiser,0.59%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Director Emeritus,J. Philip Kesecker,President,"JPK,Inc.""""",2023,Retired - Real Estate Development,3.54%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Director Emeritus,Jerald McGraw,n/a,n/a,2023,Retired - Insurance,0.58%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Director Emeritus,Thomas F. Rokisky,n/a,n/a,2023,"Retired President/CEO CNB Financial Services,Inc.""""",0.04%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Ex. Vice President/CFO,Rebecca S. Slotler,n/a,n/a,2023,N/A,0.05%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Principal Shareholder,Conrad S. Trump,n/a,n/a,2023,Teacher,7.38%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
"CNB Financial Services,Inc.""""",Principal Shareholder,Kirsten N. Trump,n/a,n/a,2023,College Professor,7.34%,n/a,n/a,"CNB Financial Services, Inc._Y-6_2023-12-31T00_00_00_English",both
Caldwell Holding Company,Director & CEO,Monty B Adams. Sr,CEO,Caldwell Bank,2023,n/a,4.7771%,n/a,None,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Director & CEO,Monty B Adams. Sr,CEO,Citizens Progressive Bank,2023,n/a,4.7771%,n/a,None,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Director & CEO,Monty B Adams. Sr,Director,Caldwell Bank & Citizens Progressive Bank,2023,n/a,4.7771%,n/a,None,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Insurance Manager,Archie Bridger Eglin,n/a,n/a,2023,Principal Shareholer,4.2794%,n/a,None,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Director,President,"H. Neil Riser,Jr.""""",Vice President,Rowland Brothers Inc.,2023,Funeral Director,0.9631%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Director,Farmer,Charles M Rowland,n/a,n/a,2023,Director,0.80930%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Director & Principal Shareholder,CPA,John S Carroll,Member,Subway of Columbia LLC,2023,Director,2.3471%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Director,Veterinarian,Chris Sullivan,Owner,Sullivan's Vet Clinic,2023,n/a,1.21400%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Director,Banker,Elmer Wayne Davis,President & CEO,Progressive National Bank,2023,n/a,0.82350%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Principal Shareholder,MD,E Linus Carroll,Medical Corp,2023,n/a,8.93100%,n/a,None,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Principal Shareholder,Attorney,James Linus Carroll,President,Majestic Farms INC,2023,n/a,1.2342%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Principal Shareholder,Housewife,Gale Carroll,n/a,n/a,2023,Columbia Retired,0.5665%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Principal Shareholder,Housewife,Sonja Carroll,n/a,n/a,2023,n/a,0.1012%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Principal Shareholder,Retired Educator,Margo Eglin,n/a,n/a,2023,n/a,3.7432% ,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Principal Shareholder,Housewife,Merrill Faye Eglin,n/a,n/a,2023,n/a,0.6070%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Principal Shareholder,Financial Advisor,William Dixon Eglin,n/a,n/a,2023,n/a,1.4163%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Principal Shareholder,Insurance Agent,Connor Bridger Eglin,n/a,n/a,2023,n/a,1.4163%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Principal Shareholder,Educator,Rachel Eglin Hines Frazer,n/a,n/a,2023,n/a,1.4163%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,Director,Entrepreneur,Edward Frank Poulos,n/a,n/a,2023,n/a,2.0739%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,None,President,Michael Wilson,n/a,n/a,2023,N/A,0.00000%,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
Caldwell Holding Company,N/A,Exective Vice President,Donna May,n/a,n/a,2023,n/a,0.4047% ,n/a,Caldwell Holding Company_Y-6_2023-12-31T00_00_00_English,both
CAMERON BANCORP,INC.,PRESIDENT,TERRY GERBER,n/a,n/a,2024,n/a,n/a,1516405,"Cameron Bancorp, Inc._Y-6_2024-12-31T00_00_00_English",insiders
Cameron Financial Corporation,Secretary,Donna D'Ann Williams,n/a,n/a,2023,n/a,30.27%,n/a,n/a,Cameron Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Cameron Financial Corporation,President,Debora Evans,n/a,n/a,2023,n/a,31.45%,n/a,n/a,Cameron Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Cameron Financial Corporation,Chairman,Thomas Evans,Vice President,"Classic Bank,N. A.""""",2023,Accountant,15.47%,n/a,n/a,Cameron Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Cameron Financial Corporation,n/a,Victoria Grace Williams,n/a,"Classic Bank,N. A.""""",2023,n/a,11.87%,n/a,n/a,Cameron Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Cameron Financial Corporation,n/a,Elizabeth Ashton Williams,n/a,"Classic Bank,N. A.""""",2023,HR Specialist,10.68%,n/a,n/a,Cameron Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Chief Information Officer,"Alexander,Robert M.""""",n/a,n/a,2023,N/A,0.02%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Director,"Archibong,Ime Victor""""",n/a,n/a,2023,N/A,0.00%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,"President,Commercial Banking""""","Blinde,Neil A.""""",n/a,n/a,2023,N/A,0.03%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
Capital One Financial Corporation,Senior Advisor,"Borgmann,Kevin S.""""",n/a,n/a,2023,N/A,0.02%,n/a,n/a,Capital One Financial Corporation_Y-6_2023-12-31T00_00_00_English,both
